 	Label	slice	Saturated	JD_SOBS	JD_UTC	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	rel_flux_T1	rel_flux_C2	rel_flux_err_T1	rel_flux_err_C2	Source-Sky_T1	N_Src_Pixels_T1	Source_AMag_T1	Peak_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	Source-Sky_C2	Source_AMag_C2	Peak_C2	FWHM_C2	Width_C2
51		51.000000	0.000000	2458913.701551	2458913.702245	2458913.702739	NaN	7.002137	7.741575	-1.802962	120.000000	5.199410	33.963192	21.977478	1.075364	0.000000	0.003458	0.000000	3566943.307681	1257.279049	11.421112	35488.000000	6395.000000	11.476577	11.518297	3316965.132335	11.500000	34507.000000	11.242463	11.242511
52		52.000000	0.000000	2458913.705039	2458913.705733	2458913.706227	NaN	6.476681	8.448293	-1.802962	120.000000	5.199354	33.962778	23.298301	1.050264	0.000000	0.003439	0.000000	3492030.607278	1257.973534	11.446754	33258.000000	6497.000000	12.392749	12.492273	3324907.282540	11.500000	31837.000000	12.226377	12.269216
53		53.000000	0.000000	2458913.708527	2458913.709221	2458913.709715	NaN	6.017858	9.162784	-1.802962	120.000000	5.199296	33.962333	22.336245	1.056403	0.000000	0.004563	0.000000	2696510.456219	1015.976444	11.440425	37681.000000	6509.000000	10.733618	10.844805	2552538.380656	11.500000	37234.000000	10.640572	10.809636
54		54.000000	0.000000	2458913.712013	2458913.712707	2458913.713200	NaN	5.614566	9.884610	-1.802962	120.000000	5.199237	33.961856	22.235518	1.024489	0.000000	0.003728	0.000000	3316360.267152	1386.439533	11.473731	34229.000000	6431.000000	11.061738	11.063045	3237086.104105	11.500000	33840.000000	11.073053	11.030083
55		55.000000	0.000000	2458913.715503	2458913.716197	2458913.716690	NaN	5.257236	10.614858	-1.802962	120.000000	5.199176	33.961344	21.789009	1.026594	0.000000	0.003460	0.000000	3248116.083893	1136.706539	11.471504	36560.000000	6356.000000	10.699681	10.695724	3163974.771078	11.500000	36392.000000	10.642818	10.686855
56		56.000000	0.000000	2458913.718990	2458913.719684	2458913.720177	NaN	4.939506	11.351747	-1.802962	120.000000	5.199112	33.960797	20.418314	1.009960	0.000000	0.002973	0.000000	3229028.579496	857.632937	11.489239	42780.000000	6353.000000	9.577158	9.510587	3197184.222142	11.500000	42061.000000	9.470461	9.427227
57		57.000000	0.000000	2458913.722478	2458913.723173	2458913.723664	NaN	4.655112	12.096057	-1.802962	120.000000	5.199048	33.960208	19.054039	0.996685	0.000000	0.002655	0.000000	3177101.638238	662.313300	11.503605	46267.000000	6272.000000	8.808481	9.197454	3187668.535759	11.500000	46548.000000	8.881282	8.885876
58		58.000000	0.000000	2458913.725967	2458913.726661	2458913.727152	NaN	4.399395	12.847412	-1.802962	120.000000	5.198981	33.959581	19.737440	0.995601	0.000000	0.002870	0.000000	3123392.042632	756.969370	11.504786	39815.000000	6446.000000	10.270844	10.157826	3137191.150236	11.500000	39733.000000	10.149997	10.132340
59		59.000000	0.000000	2458913.729454	2458913.730149	2458913.730640	NaN	4.168512	13.605396	-1.802962	120.000000	5.198911	33.958908	19.756271	0.992636	0.000000	0.003106	0.000000	3050869.387242	853.436125	11.508025	39171.000000	6428.000000	9.939017	10.111513	3073502.253784	11.500000	40073.000000	9.836085	9.757561
60		60.000000	0.000000	2458913.732943	2458913.733637	2458913.734128	NaN	3.959073	14.370275	-1.802962	120.000000	5.198839	33.958186	18.891372	0.977598	0.000000	0.002813	0.000000	2967154.805806	661.523670	11.524599	46269.000000	6474.000000	9.004439	8.935421	3035147.280506	11.500000	46588.000000	9.022034	9.042194
61		61.000000	0.000000	2458913.736430	2458913.737124	2458913.737614	NaN	3.768611	15.140880	-1.802962	120.000000	5.198765	33.957417	19.372283	0.969356	0.000000	0.003259	0.000000	2856277.631055	855.473248	11.533791	39223.000000	6415.000000	10.056501	10.186002	2946571.438283	11.500000	40037.000000	9.796692	9.919736
62		62.000000	0.000000	2458913.739918	2458913.740613	2458913.741102	NaN	3.595105	15.915523	-1.802962	120.000000	5.198688	33.956592	21.205175	0.971778	0.000000	0.003374	0.000000	2877819.617796	910.228390	11.531082	38225.000000	6465.000000	11.749854	11.877774	2961395.387749	11.500000	38488.000000	11.288213	11.321067
63		63.000000	0.000000	2458913.743406	2458913.744100	2458913.744590	NaN	3.436018	16.696464	-1.802962	120.000000	5.198607	33.955708	19.023218	0.957114	0.000000	0.003103	0.000000	2738802.652435	708.133554	11.547590	47754.000000	6264.000000	8.418037	8.398790	2861520.887191	11.500000	48110.000000	8.423223	8.451225
64		64.000000	0.000000	2458913.746893	2458913.747588	2458913.748076	NaN	3.289746	17.483389	-1.802962	120.000000	5.198524	33.954761	18.365318	0.951597	0.000000	0.003238	0.000000	2704982.800552	754.713924	11.553868	43355.000000	6413.000000	8.869874	8.977102	2842573.039796	11.500000	44541.000000	8.837544	9.040883
65		65.000000	0.000000	2458913.750381	2458913.751075	2458913.751564	NaN	3.154825	18.276509	-1.802962	120.000000	5.198436	33.953747	20.215230	0.940644	0.000000	0.003579	0.000000	2654144.174676	906.616448	11.566436	36507.000000	6247.000000	11.165367	11.451161	2821623.603691	11.500000	37803.000000	10.899774	10.947618
66		66.000000	0.000000	2458913.753869	2458913.754564	2458913.755052	NaN	3.030066	19.075634	-1.881263	120.000000	5.198345	33.952658	18.427189	0.939232	0.000000	0.003190	0.000000	2578576.509142	661.652153	11.568068	46903.000000	6427.000000	8.261024	8.297638	2745408.931676	11.500000	48650.000000	8.378124	8.388564
67		67.000000	0.000000	2458913.760447	2458913.761142	2458913.761629	NaN	2.818971	20.597779	-1.802962	120.000000	5.198162	33.950383	20.113037	0.917126	0.000000	0.004014	0.000000	2355761.218226	907.251241	11.593927	37522.000000	6468.000000	10.806777	11.189908	2568633.102582	11.500000	39332.000000	10.992109	10.868448
68		68.000000	0.000000	2458913.763934	2458913.764629	2458913.765115	NaN	2.718271	21.412487	-1.802962	120.000000	5.198057	33.949042	19.868249	0.918213	0.000000	0.004142	0.000000	2239648.384428	854.519949	11.592642	36867.000000	6407.000000	10.088776	9.921872	2439139.278068	11.500000	38736.000000	9.534685	9.789614
69		69.000000	0.000000	2458913.767423	2458913.768118	2458913.768604	NaN	2.624342	22.232823	-1.802962	120.000000	5.197947	33.947597	19.757694	0.917408	0.000000	0.004100	0.000000	2153166.964162	753.121040	11.593593	39203.000000	6304.000000	9.981134	9.743427	2347010.222496	11.500000	41039.000000	9.666005	9.644031
70		70.000000	0.000000	2458913.770910	2458913.771605	2458913.772090	NaN	2.536664	23.057755	-1.802962	120.000000	5.197831	33.946036	19.492015	0.902454	0.000000	0.004512	0.000000	2068667.495767	856.841779	11.611437	37805.000000	6273.000000	9.554026	9.938448	2292268.249736	11.500000	40092.000000	9.672310	9.637937
71		71.000000	0.000000	2458913.774399	2458913.775093	2458913.775582	NaN	2.456808	23.864796	-1.802962	120.000000	5.201053	33.961036	20.166888	0.904423	0.000000	0.005370	0.000000	2000094.470187	1076.643797	11.609071	36058.000000	6511.000000	10.436669	10.354542	2211458.319239	11.500000	37710.000000	10.405092	10.469024
72		72.000000	0.000000	2458913.777888	2458913.778583	2458913.779071	NaN	2.379751	24.699786	-1.802962	120.000000	5.200923	33.959217	19.234584	0.897477	0.000000	0.004599	0.000000	1958126.164928	753.828597	11.617441	40950.000000	6508.000000	9.156892	9.097014	2181810.880742	11.500000	43401.000000	9.145387	9.118621
73		73.000000	0.000000	2458913.781376	2458913.782070	2458913.782558	NaN	2.307471	25.538975	-1.802962	120.000000	5.200785	33.957244	19.452549	0.901210	0.000000	0.005426	0.000000	1877272.034989	909.898817	11.612935	39101.000000	6525.000000	9.777154	10.164491	2083057.281054	11.500000	40828.000000	9.893359	9.968819
74		74.000000	0.000000	2458913.784865	2458913.785559	2458913.786047	NaN	2.239506	26.383063	-1.802962	120.000000	5.200638	33.955094	19.138952	0.893706	0.000000	0.005848	0.000000	1808523.978818	961.286202	11.622013	40124.000000	6480.000000	9.419146	9.175470	2023623.030396	11.500000	41382.000000	9.406210	9.403222
