_RAJ2000	_DEJ2000	UCAC4	RAJ2000	DEJ2000	ePos	f.mag	of	db	pmRA	pmDE	Jmag	Kmag	Bmag	Vmag	rmag	imag	H	A	b	h	Z	B	L	N	S
092.031617700	+24.376342800	572-024377	092.0316177	+24.3763428	90	15.424	0	0	5.3	-1.8	14.245	13.693					0	0	0	0	0	0	0	1	0
092.033150000	+24.342429500	572-024379	092.0331500	+24.3424295	127	15.434	0	0	4.0	-1.9	14.762	14.469	16.268	15.662	15.559		0	0	0	0	0	0	0	1	0
092.035500900	+24.373151200	572-024380	092.0355009	+24.3731512	81	15.625	0	0	1.8	1.1	14.323	14.025					0	0	0	0	0	0	0	1	0
092.039990900	+24.398574800	572-024383	092.0399909	+24.3985748	106	15.949	0	0	-1.2	1.8	14.663	14.458	16.679	15.974	15.772		0	0	0	0	0	0	0	1	0
092.041287400	+24.360112300	572-024384	092.0412874	+24.3601123	87	14.590	0	0	-2.5	17.0	13.447	12.950	15.805	15.061	14.734	14.526	0	0	0	0	0	0	0	1	0
092.041376500	+24.351805300	572-024385	092.0413765	+24.3518053	96	15.097	5	0			13.259	12.555					0	0	0	0	0	0	0	0	0
092.041554200	+24.350170900	572-024386	092.0415542	+24.3501709	145	14.376	0	0	-1.9	-11.5	12.712	12.065					0	0	0	0	8	0	0	8	0
092.043711200	+24.354028400	572-024387	092.0437112	+24.3540284	88	13.847	0	0	2.5	-2.8	12.969	12.691					0	0	0	0	1	0	0	1	0
092.047238000	+24.356134200	572-024393	092.0472380	+24.3561342	82	15.416	0	0	8.9	4.0	14.279	13.849					0	0	0	0	0	0	0	1	0
092.049372400	+24.393613400	572-024395	092.0493724	+24.3936134	38	14.333	0	0	3.9	-2.9	13.454	13.278	14.706	14.322	14.246	14.564	0	0	0	0	1	0	0	1	0
092.050011500	+24.333479800	572-024396	092.0500115	+24.3334798	55	12.682	0	0	-0.9	-4.8	11.872	11.667	13.209	12.759	12.669	13.194	0	1	0	1	1	0	0	1	0
092.050224500	+24.357417300	572-024397	092.0502245	+24.3574173	92	15.588	0	0	13.5	5.5	14.004	13.485					0	0	0	0	0	0	0	1	0
